dataset,method,n_seeds,auc_mean,auc_std,seed_42_auc,seed_123_auc,seed_2024_auc
adult,XGBoost,3,0.9263536020,0.0004466250,0.9262654223,0.9258560471,0.9269393366
adult,LightGBM,3,0.9273335916,0.0003225845,0.9268774194,0.9275663006,0.9275570548
adult,CatBoost,3,0.9253868919,0.0003199703,0.9252590482,0.9250748968,0.9258267306
adult,MLP,3,0.9070896378,0.0002389130,0.9067776323,0.9073579283,0.9071333529
adult,FT-Transformer,3,0.9103647962,0.0003441913,0.9099139581,0.9107491500,0.9104312805
adult,CNN-M1,3,0.8496998271,0.0011128649,0.8495414257,0.8511350824,0.8484229731
adult,CNN-M1c,3,0.9101530296,0.0008874416,0.9093756027,0.9113949924,0.9096884937
adult,CNN-M2,3,0.8472608961,0.0008968281,0.8484088639,0.8462199236,0.8471539006
adult,CNN-M3-full,3,0.9090970799,0.0010752647,0.9075765629,0.9098750088,0.9098396679
adult,CNN-M3-noG,3,0.8470629214,0.0003925138,0.8475578058,0.8465977231,0.8470332353
adult,CNN-M3-noB,3,0.9092453186,0.0014284543,0.9090392940,0.9076079608,0.9110887010
adult,CNN-M3-corrB,3,0.9105434984,0.0009863177,0.9097451291,0.9119332328,0.9099521334
adult,CNN-M3-shapB,3,0.9092329840,0.0013865687,0.9104707736,0.9072969838,0.9099311945
adult,CNN-M3-RG,3,0.9100204271,0.0010068829,0.9086463185,0.9110308837,0.9103840791
adult,CNN-IGTD,3,0.8470924611,0.0006737663,0.8480008589,0.8468873638,0.8463891605
heart,XGBoost,3,0.9198606272,0.0035533237,0.9149825784,0.9233449477,0.9212543554
heart,LightGBM,3,0.9204413473,0.0081084830,0.9104529617,0.9205574913,0.9303135889
heart,CatBoost,3,0.9207897793,0.0141027728,0.9331010453,0.9282229965,0.9010452962
heart,MLP,3,0.9423925668,0.0018290378,0.9449477352,0.9414634146,0.9407665505
heart,FT-Transformer,3,0.9340301974,0.0090383630,0.9212543554,0.9400696864,0.9407665505
heart,CNN-M1,3,0.7526132404,0.0349591567,0.7351916376,0.7212543554,0.8013937282
heart,CNN-M1c,3,0.9012775842,0.0290369338,0.9407665505,0.8912891986,0.8717770035
heart,CNN-M2,3,0.8404181185,0.0063359729,0.8418118467,0.8320557491,0.8473867596
heart,CNN-M3-full,3,0.6635307782,0.1372151016,0.5233449477,0.6174216028,0.8498257840
heart,CNN-M3-noG,3,0.6580720093,0.1458032616,0.5052264808,0.6146341463,0.8543554007
heart,CNN-M3-noB,3,0.7699186992,0.1245264298,0.5940766551,0.8662020906,0.8494773519
heart,CNN-M3-corrB,3,0.6306620209,0.2657072585,0.8529616725,0.2571428571,0.7818815331
heart,CNN-M3-shapB,3,0.6541231127,0.1293020462,0.5435540070,0.5832752613,0.8355400697
heart,CNN-M3-RG,3,0.6373983740,0.1725019823,0.6752613240,0.4097560976,0.8271777003
heart,CNN-IGTD,3,0.6114982578,0.1410502999,0.6888501742,0.4135888502,0.7320557491
wine,XGBoost,3,0.8536619051,0.0036846773,0.8574608868,0.8486735514,0.8548512770
wine,LightGBM,3,0.8511316554,0.0036852218,0.8563354152,0.8487786779,0.8482808732
wine,CatBoost,3,0.8483829077,0.0048063446,0.8550182425,0.8463422175,0.8437882629
wine,MLP,3,0.8418547606,0.0006891538,0.8423906994,0.8408818255,0.8422917568
wine,FT-Transformer,3,0.8222414611,0.0053512089,0.8269742131,0.8249891782,0.8147609919
wine,CNN-M1,3,0.8462288459,0.0027557503,0.8423721477,0.8476717581,0.8486426319
wine,CNN-M2,3,0.8327479232,0.0026571453,0.8346175252,0.8289901676,0.8346360769
wine,CNN-M3-full,3,0.8417475728,0.0040488822,0.8474615052,0.8385690433,0.8392121699
wine,CNN-M3-noG,3,0.8417475728,0.0040488822,0.8474615052,0.8385690433,0.8392121699
wine,CNN-M3-noB,3,0.8477892524,0.0010251497,0.8464844475,0.8478943788,0.8489889308
wine,CNN-M3-corrB,3,0.8421598334,0.0053018440,0.8371281924,0.8398614804,0.8494898275
wine,CNN-M3-shapB,3,0.8405128522,0.0030766025,0.8438439181,0.8412714118,0.8364232268
wine,CNN-M3-RG,3,0.8415970977,0.0018768774,0.8430400099,0.8389462618,0.8428050213
wine,CNN-IGTD,3,0.8393379094,0.0043601790,0.8336961227,0.8443138952,0.8400037103
bank,XGBoost,3,0.9306047855,0.0005119605,0.9310586862,0.9298893313,0.9308663389
bank,LightGBM,3,0.9293371854,0.0001940854,0.9290773498,0.9293905016,0.9295437049
bank,CatBoost,3,0.9308958327,0.0004178351,0.9308052167,0.9314468292,0.9304354522
bank,MLP,3,0.9259303974,0.0012382930,0.9272767274,0.9242873866,0.9262270780
bank,FT-Transformer,3,0.9271181938,0.0002896182,0.9267138198,0.9272639952,0.9273767662
bank,CNN-M1,3,0.8660531662,0.0041176186,0.8620158937,0.8717060145,0.8644375903
bank,CNN-M1c,3,0.9188146333,0.0004709900,0.9194176196,0.9182680830,0.9187581973
bank,CNN-M2,3,0.8620855041,0.0009500309,0.8625929357,0.8629091567,0.8607544198
bank,CNN-M3-full,3,0.9249200561,0.0018241537,0.9237391437,0.9274968128,0.9235242119
bank,CNN-M3-noG,3,0.8665411079,0.0016335030,0.8679813128,0.8673852483,0.8642567626
bank,CNN-M3-noB,3,0.9244496465,0.0006025784,0.9252097139,0.9237358849,0.9244033406
bank,CNN-M3-corrB,3,0.9249066545,0.0017580473,0.9229337178,0.9272033657,0.9245828799
bank,CNN-M3-shapB,3,0.9235217362,0.0026399026,0.9271224252,0.9225757381,0.9208670453
bank,CNN-M3-RG,3,0.9234819480,0.0028280621,0.9259248396,0.9250029671,0.9195180374
bank,CNN-IGTD,3,0.8667047067,0.0021610419,0.8647417233,0.8656576088,0.8697147879
credit,XGBoost,3,0.7765466818,0.0012374963,0.7780764397,0.7750456126,0.7765179930
credit,LightGBM,3,0.7779075981,0.0015153723,0.7793937457,0.7785017056,0.7758273430
credit,CatBoost,3,0.7776100446,0.0012547254,0.7770142830,0.7793554423,0.7764604087
credit,MLP,3,0.7676045364,0.0015968484,0.7653614703,0.7689527366,0.7684994022
credit,FT-Transformer,3,0.7677870935,0.0021664346,0.7696195568,0.7647444290,0.7689972947
credit,CNN-M1,3,0.7623798362,0.0003298026,0.7619669935,0.7627742078,0.7623983073
credit,CNN-M1c,3,0.7648191232,0.0017456088,0.7636025640,0.7672877020,0.7635671036
credit,CNN-M2,3,0.7672147998,0.0006963486,0.7681844977,0.7665812344,0.7668786673
credit,CNN-M3-full,3,0.7699907707,0.0008139800,0.7691562977,0.7710947286,0.7697212857
credit,CNN-M3-noG,3,0.7700134460,0.0012904918,0.7692066969,0.7718345372,0.7689991039
credit,CNN-M3-noB,3,0.7662750140,0.0011252465,0.7658753871,0.7678088039,0.7651408510
credit,CNN-M3-corrB,3,0.7639766725,0.0004162137,0.7644864885,0.7639765519,0.7634669772
credit,CNN-M3-shapB,3,0.7663147820,0.0010902895,0.7665851113,0.7648649736,0.7674942612
credit,CNN-M3-RG,3,0.7628379262,0.0044826560,0.7665666574,0.7654135753,0.7565335459
credit,CNN-IGTD,3,0.7681924065,0.0001146616,0.7680907810,0.7683526501,0.7681337883
german,XGBoost,3,0.8054857143,0.0042978453,0.7996952381,0.8067809524,0.8099809524
german,LightGBM,3,0.7897142857,0.0084835281,0.7845333333,0.7829333333,0.8016761905
german,CatBoost,3,0.8076444444,0.0149716817,0.8092190476,0.7885714286,0.8251428571
german,MLP,3,0.7921269841,0.0101128488,0.7778285714,0.7990095238,0.7995428571
german,FT-Transformer,3,0.7619809524,0.0012014604,0.7616761905,0.7635809524,0.7606857143
german,CNN-M1,3,0.6798984127,0.0167321333,0.7027809524,0.6736761905,0.6632380952
german,CNN-M1c,3,0.7911365079,0.0010434356,0.7926095238,0.7904761905,0.7903238095
german,CNN-M2,3,0.7036952381,0.0091201835,0.7094857143,0.7107809524,0.6908190476
german,CNN-M3-full,3,0.7317841270,0.0425526974,0.6716190476,0.7629714286,0.7607619048
german,CNN-M3-noG,3,0.6922920635,0.0344372711,0.6449523810,0.7060571429,0.7258666667
